Phylum,Class,Order,Family,Genus,Species,Strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,na,ASV_11353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35104E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,na,ASV_11532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71899E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,na,ASV_23109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37207E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,na,ASV_25235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058949,0,0.000271192,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,na,ASV_25853,0,0,0,0,0,0.00019536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,na,ASV_29264,0,0,0,0,0,0,0,0,0,0,0,0.000205122,0.000481232,0,0,0,0.000520183,0,0.000334709,0,0,0,0,0,0,0.000241526,0,0.000409226,0,0,0,0.000767319,0,0.000583795,0.001130232,0,0,0.001515121,0.000143926,0.000635961,0.000456818,0.000939114,0,0,0.00224027,0,0.0022133,0.00075427,0.001713438,0,0,0.002118837,0,0.002131478,0.000469971,0.001625867
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,na,ASV_30733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176077,0,0,0,0,0,0,0,0,0,0,0.000117568,0,0,0.000129702,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000712336,0.000435544,0,0,0.000383324,0,0.000911067,0.000628141,0,0,0.001816902,0,0.001787095,0.000572728,0.002772559,0,0,0.002470011,0,0.001890442,0,0.001708187,0,0,0.002296179,0,0.00144577,0,0.00171771
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_20736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193293
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_21881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000700393,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_24673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324065,0,0,0,0,0,0.000260688,0.000718397,0,0.000725902,0,0,0,0.000324971,0,0.001169193,0,0,0,0.001474531,0,0.000328504,0,0.000524501,0,0,0.00180174,0,0.000496216,0,0,0,0,0.000986325,0,0.000290234,0.000399855,0.00055157
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_26427,0,0,0,0,0,0,0,0,0,0,0,0.000183208,0,0,0,0,0,0.000278987,0.000599155,0,0,0,0,0,0.0004939,0.001414035,0,0,0,0,0,0,0,0,0.000767165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234764,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_27880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000697934,0,0,0,0.000564223,0,0.000308856,0.000184459,0,0,0,0,0,0,0,0,0,0.000173482,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_29641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_30440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59693E-05,0,0,0,0,0.0001294,0,0,7.81372E-05,0,0,0,0,0.00028023,0.000132538,0,0,0.000547073,0,0,0,0,0,0,0.00047047,0,0.000262648,0,0.000235135,0,0,0.000704343,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018912,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_33089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000415628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_33835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337306,0.000316326,0,0,0.000408354,0,0,0.00088638,0,0,0.000803085,0,0,0.00042757,0,0,0.000334546,0,0,0,0,0,0.000919269,0,0.000499662,0,0,0,6.87427E-05,0.000271245,0,0.000314228
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Granulicella,na,ASV_8178,0,0,0,0,0,0,0,0,0,0.000155909,0,0,0,0,0,0,0,0,0.00014876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031816,0,0,0,0.000137571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000669066,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Occallatibacter,na,ASV_1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298403,0,0,0,0,0,0,0,0,0.000492465,0,0.000368954,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Occallatibacter,na,ASV_18479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000881182,0,0,0,0.0004783,0,0,0.000560412,0,0,0,0,0,0,0.000365501,0,0.00012206,0,0.00029328
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Occallatibacter,na,ASV_18490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000200562,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Occallatibacter,na,ASV_19386,0,0,0,0,0,0,0,0,0,0.000623636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19751E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Occallatibacter,na,ASV_33620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000256542,0,0,0,0,0,0,0.000656814,0,0,0.000377135,0,0,0,0,0,8.0457E-05,0,0.00014664
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Occallatibacter,na,ASV_9632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140425,0,0,0,0,0,0,0.00045156,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Terracidiphilus,na,ASV_23606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000210637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Terriglobus,na,ASV_20350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414079,0,9.36988E-05,0,0,0,0,0,0,0,0,0,0.000240748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136307,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Terriglobus,na,ASV_29842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66464E-05
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Terriglobus,na,ASV_8831,0,0,0,0,0,0,4.7221E-05,0,0,0,0,0,0,0,0,0,0,7.95071E-05,0.000520574,0,0,0,0,9.97855E-05,0.000484695,0,0.000121406,0.000154977,0,0,0.001156518,0.000117619,0,0,0,0,0.000217552,0.000120374,0.000295613,0.00023426,0,0.000147747,0,0,0.000287356,0,0.000710719,0,0.000146959,0.000282326,0.001433496,0.000110935,0.000237814,0.000988342,0.001102653,0.000134268
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__uncultured,na,ASV_35534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291521,0,0.000182415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__uncultured,s__uncultured_forest,ASV_28076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90686E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_13015,0,0,0,0,0,0,0.000281532,0,0,0,0,0,0,0,0,0.000239578,0,0,0,0.000297022,0.000242777,0,0,0,0,0.000453991,0,0.000239569,0.000193605,0,0,0.000404838,0,0.000258198,0.000110448,0,0,0.000875986,0,8.21261E-05,0,0.000276689,0,0,0.000308227,0,0,0,0,0,0,0.000759568,0,0.000107945,0,0.000295389
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_14130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47831E-05,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96786E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_21175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70826E-05,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_21611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78696E-05,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_24850,0,0,0,0,0,0,0,0,0.000338753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224871,0,0,0,0,0,0,0,0,0,0,0,0,0.000171963,0,0,0,0,0,0,0.000287356,0,0.000439348,0,0.000176351,0,0,8.32016E-05,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_27459,0,0,0,0,0,0,0,0,0,0,0,0.00019459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000390403,0,0,0,0,0,0.00043554,0,0,0.000689275,0,0,0.00246339,0.000431779,0.001170065,0,0,0,0,0,0,0.001634397,0,0.000679705,0,0,0.001273654,0,0.000771414,0.000296824,0.001219461
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_28657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_30116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_31445,0,0,0,0,0,9.14244E-05,0.000198098,0,0,0.000552486,0,0,0.000215704,0,0.000336785,0,0,0,0,0,0.000204417,0.000793524,0,0,0.00039512,0.001660874,0.000429157,0.000904123,0.00111819,0,0.000196602,0.001326556,0.000513834,0.002634145,0.000265076,0,0.000111037,0.00111589,0,0,0.00178158,0.002891469,0,0,0.002154248,0,0,0,0.001623468,0,0,0.001894113,0,0.000582403,0.001009321,0.000286498
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_33811,0,0,0,0.000168776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_34591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87417E-05,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_35566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),na,na,ASV_6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71245E-05,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,na,ASV_13843,0,0,0,0,0,0,0,0,0,0.000389772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,na,ASV_15847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71747E-05,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,na,ASV_24496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,na,ASV_25843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196144,0,0,0,0,0,0,0.00016109,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,na,ASV_35142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,s__uncultured_bacterium,ASV_28930,0,0,0,0,0,0,0,0,0,0,0.001116071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,s__uncultured_soil,ASV_36445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000262302,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured,na,ASV_10104,0,0,0,0,0,0,6.60328E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured,na,ASV_10729,0,0,0,0.000379747,0,0,0,0,0.000278847,0.000878735,0,0,0,0,0,0.000399297,0,0,0,0,0,0.000241629,0,0,0.000216732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33084E-05,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured,na,ASV_13456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90686E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00027366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured,na,ASV_13565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000629195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured,na,ASV_1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.414E-05,0,0,0,0,0,0,0,0.00060335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000544044,0.000115085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured,na,ASV_15782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
